ISO,Country Name,2019 Mortality Rate,Latitude,Longitude
AFG,Afghanistan,46.5128,33.93911,67.709953
ALB,Albania,8.6143,41.153332,20.168331
DZA,Algeria,19.9549,28.033886,1.659626
AND,Andorra,2.8316,42.546245,1.601554
AGO,Angola,50.1802,-11.202692,17.873887
ATG,Antigua and Barbuda,5.7904,17.060816,-61.796428
ARG,Argentina,8.2381,-38.416097,-63.616672
ARM,Armenia,10.5087,40.069099,45.038189
AUS,Australia,3.0518,-25.274398,133.775136
AUT,Austria,2.8452,47.516231,14.550072
AZE,Azerbaijan,18.2376,40.143105,47.576927
BHS,Bahamas,10.8555,25.03428,-77.39628
BHR,Bahrain,5.9018,25.930414,50.637772
BGD,Bangladesh,25.5897,23.684994,90.356331
BRB,Barbados,11.7411,13.193887,-59.543198
BLR,Belarus,2.4219,53.709807,27.953389
BEL,Belgium,2.7352,50.503887,4.469936
BLZ,Belize,10.5893,17.189877,-88.49765
BEN,Benin,59.0013,9.30769,2.315834
BTN,Bhutan,23.8497,27.514162,90.433601
BOL,Bolivia,21.1945,-16.290154,-63.588653
BIH,Bosnia and Herzegovina,5.0581,43.915886,17.679076
BWA,Botswana,32.2555,-22.328474,24.684866
BRA,Brazil,12.4478,-14.235004,-51.92528
BRN,Brunei,9.5527,4.535277,114.727669
BGR,Bulgaria,5.6288,42.733883,25.48583
BFA,Burkina Faso,53.9372,12.238333,-1.561593
BDI,Burundi,39.8504,-3.373056,29.918886
CPV,Cabo Verde,12.7898,15.1111,23.6167
KHM,Cambodia,22.8336,12.565679,104.990963
CMR,Cameroon,50.1733,7.369722,12.354722
CAN,Canada,4.2455,56.130366,-106.346771
CAF,Central African Republic,81.0032,6.611111,20.939444
TCD,Chad,69.096,15.454166,18.732207
CHL,Chile,5.9664,-35.675147,-71.542969
CHN,China,6.7589,35.86166,104.195397
COL,Colombia,11.838,4.570868,-74.297333
COM,Comoros,48.28,-11.875001,43.872219
COG,Congo,34.8506,-4.038333,21.758664
COK,Cook Islands,6.5139,-21.236736,-159.777671
CRI,Costa Rica,7.5436,9.748917,-83.753428
CIV,C“te d'Ivoire,58.5997,7.539989,-5.54708
HRV,Croatia,4.0545,45.1,15.2
CUB,Cuba,3.8099,21.521757,-77.781167
CYP,Cyprus,1.8396,35.126413,33.429859
CZE,Czech Republic,2.5287,49.817492,15.472962
PRK,North Korea,13.1,40.339852,127.510093
COD,Congo,66.1081,-4.038333,21.758664
DNK,Denmark,3.2407,56.26392,9.501785
DJI,Djibouti,48.4168,11.825138,42.590275
DMA,Dominica,30.9365,15.414999,-61.370976
DOM,Dominican Republic,23.4518,18.735693,-70.162651
ECU,Ecuador,12.0379,-1.831239,-78.183406
EGY,Egypt,17.3254,26.820553,30.802498
SLV,El Salvador,11.4369,13.794185,-88.89653
GNQ,Equatorial Guinea,60.4125,1.650801,10.267895
ERI,Eritrea,30.4711,15.179384,39.782334
EST,Estonia,1.8696,58.595272,25.013607
SWZ,Eswatini,38.5668,-26.522503,31.465866
ETH,Ethiopia,36.549,9.145,40.489673
FJI,Fiji,21.677,-16.578193,179.414413
FIN,Finland,1.9456,61.92411,25.748151
FRA,France,3.7735,46.227638,2.213749
GAB,Gabon,31.1459,-0.803689,11.609444
GMB,Gambia,35.8929,13.443182,-15.310139
GEO,Georgia,8.527,42.315407,43.356892
DEU,Germany,3.2189,51.165691,10.451526
GHA,Ghana,33.8934,7.946527,-1.023194
GRC,Greece,3.3076,39.074208,21.824312
GRD,Grenada,14.6811,12.262776,-61.604171
GTM,Guatemala,20.7475,15.783471,-90.230759
GIN,Guinea,63.8198,9.945587,-9.696645
GNB,Guinea-Bissau,52.3232,11.803749,-15.180413
GUY,Guyana,24.437,4.860416,-58.93018
HTI,Haiti,48.2162,18.971187,-72.285215
HND,Honduras,14.4532,15.199999,-86.241905
HUN,Hungary,3.0328,47.162494,19.503304
ISL,Iceland,1.5531,64.963051,-19.020835
IND,India,28.2568,20.593684,78.96288
IDN,Indonesia,20.2419,-0.789275,113.921327
IRN,Iran,11.9934,32.427908,53.688046
IRQ,Iraq,21.8284,33.223191,43.679291
IRL,Ireland,2.829,53.41291,-8.24389
ISR,Israel,2.9683,31.046051,34.851612
ITA,Italy,2.6845,41.87194,12.56738
JAM,Jamaica,11.9259,18.109581,-77.297508
JPN,Japan,1.7973,36.204824,138.252924
JOR,Jordan,13.4087,30.585164,36.238414
KAZ,Kazakhstan,9.3024,48.019573,66.923684
KEN,Kenya,31.8651,-0.023559,37.906193
KIR,Kiribati,40.1129,-3.370417,-168.734039
KWT,Kuwait,6.7671,29.31166,47.481766
KGZ,Kyrgyzstan,16.3619,41.20438,74.766098
LAO,Laos,36.3611,19.85627,102.495496
LVA,Latvia,3.091,56.879635,24.603189
LBN,Lebanon,6.1647,33.854721,35.862285
LSO,Lesotho,68.077,-29.609988,28.233608
LBR,Liberia,62.1828,6.428055,-9.429499
LBY,Libya,9.8831,26.3351,17.228331
LTU,Lithuania,2.989,55.169438,23.881275
LUX,Luxembourg,2.2478,49.815273,6.129583
MDG,Madagascar,36.4721,-18.766947,46.869107
MWI,Malawi,30.9118,-13.254308,34.301525
MYS,Malaysia,7.3208,4.210484,101.975766
MDV,Maldives,6.5156,3.202778,73.22068
MLI,Mali,60.2095,17.570692,-3.996166
MLT,Malta,6.0783,35.937496,14.375416
MHL,Marshall Islands,26.3897,7.131474,171.184478
MRT,Mauritania,50.1396,21.00789,-10.940835
MUS,Mauritius,14.27,-20.348404,57.552152
MEX,Mexico,12.1963,23.634501,-102.552784
FSM,Micronesia,24.5407,7.425554,150.550812
MCO,Monaco,2.5277,43.750298,7.412841
MNG,Mongolia,13.4465,46.862496,103.846656
MNE,Montenegro,2.0398,42.708678,19.37439
MAR,Morocco,18.3423,31.791702,-7.09262
MOZ,Mozambique,54.7735,-18.665695,35.529562
MMR,Myanmar,35.7549,21.913965,95.956223
NAM,Namibia,30.7251,-22.95764,18.49041
NRU,Nauru,25.7047,-0.522778,166.931503
